bananaCollected01,bananaCollected02,bananaCollected03,bananaCollected04,bananaCollected05,bananaCollected06,bananaCollected07,bananaCollected08,bananaCollected09,goalReached,playerCrouching,playerSafeFromCamera,playerSafeFromRobot,banana02SafeFromCamera
-0.715951,-0.9597799,-1,-1,-1,-0.6944548,-0.8858088,-1,-1,-1,-1,1,1,1
-0.7134637,-0.9586453,-1,-1,-1,-0.6871327,-0.8814672,-1,-1,-1,-1,1,1,1
-0.7133472,-0.9585913,-1,-1,-1,-0.6867819,-0.8812585,-1,-1,-1,-1,1,1,1
-0.6915776,-0.9500386,-1,-1,-1,-0.6805513,-0.881427,-1,-1,-1,-1,1,1,1
-0.62547,-0.9208142,-1,-1,-1,-0.6564828,-0.8770956,-0.9999996,-1,-1,-1,1,1,1
-0.5345543,-0.8754351,-1,-1,-1,-0.6484866,-0.8828258,-0.9980776,-1,-1,-1,1,1,1
-0.4557041,-0.834607,-1,-1,-1,-0.6974365,-0.9152355,-0.9982705,-1,-1,-1,1,1,1
-0.3954868,-0.7972228,-1,-1,-1,-0.7568462,-0.9473329,-0.9994201,-1,-1,-1,1,1,1
-0.3307698,-0.7466012,-1,-1,-1,-0.7947129,-0.9653282,-0.9992251,-1,-1,-1,1,1,1
-0.2334994,-0.671482,-0.9976822,-0.9989352,-1,-0.7948837,-0.9657311,-0.9941009,-1,-1,-1,1,1,1
1,-0.5881057,-0.9858412,-0.9893996,-1,-0.8002812,-0.9671218,-0.9842594,-1,-1,-1,1,1,1
1,-0.5727878,-0.9826951,-0.9864756,-1,-0.7995054,-0.9665223,-0.9814269,-1,-1,-1,1,1,1
1,-0.5727878,-0.9826951,-0.9864756,-1,-0.7995054,-0.9665223,-0.9814269,-1,-1,-1,1,1,1
1,-0.6005862,-0.9882367,-0.9917484,-1,-0.8040611,-0.96887,-0.9870983,-1,-1,-1,1,1,1
1,-0.669099,-0.997546,-0.9992917,-1,-0.8192338,-0.9753232,-0.996871,-1,-1,-1,1,1,1
1,-0.7081592,-0.999795,-1,-1,-0.8438036,-0.9838874,-0.9999192,-1,-1,-1,1,1,1
1,-0.7136187,-0.999913,-1,-1,-0.8476229,-0.9850923,-0.9999958,-1,-1,-1,1,1,1
1,-0.7138785,-0.9999173,-1,-1,-0.8478042,-0.9851487,-0.999997,-1,-1,-1,1,1,-1
1,-0.7138785,-0.9999173,-1,-1,-0.8478042,-0.9851487,-0.999997,-1,-1,-1,1,1,-1
