bananaCollected01,bananaCollected02,bananaCollected03,bananaCollected04,bananaCollected05,bananaCollected06,bananaCollected07,bananaCollected08,bananaCollected09,goalReached,playerCrouching,playerSafeFromCamera,playerSafeFromRobot,banana02SafeFromCamera
-0.717217,-0.9603352,-1,-1,-1,-0.697706,-0.8877023,-1,-1,-1,-1,1,1,1
-0.7172137,-0.9603317,-1,-1,-1,-0.6976222,-0.8876476,-1,-1,-1,-1,1,1,1
-0.6909521,-0.9500386,-1,-1,-1,-0.6882803,-0.886527,-1,-1,-1,-1,1,1,1
-0.6156754,-0.9170443,-1,-1,-1,-0.6733958,-0.8886737,-1,-1,-1,-1,1,1,1
-0.5260664,-0.8726092,-1,-1,-1,-0.6773142,-0.8999212,-0.9993134,-1,-1,-1,1,1,1
-0.4264667,-0.8175548,-1,-1,-1,-0.6965371,-0.9160255,-0.9969465,-1,-1,-1,1,1,1
-0.3625563,-0.7771288,-1,-1,-1,-0.7522073,-0.9458144,-0.9982356,-1,-1,-1,1,1,1
-0.2914265,-0.7213688,-0.9999951,-1,-1,-0.7866963,-0.9622185,-0.9973534,-1,-1,-1,1,1,-1
-0.1983081,-0.6421199,-0.9944735,-0.9963205,-1,-0.7893183,-0.9632134,-0.9897885,-1,-1,-1,1,1,-1
1,-0.5729718,-0.9827199,-0.986453,-1,-0.798929,-0.9662822,-0.9812944,-1,-1,-1,1,1,-1
1,-0.5729718,-0.9827199,-0.986453,-1,-0.798929,-0.9662822,-0.9812944,-1,-1,-1,1,1,-1
1,-0.5782391,-0.9839473,-0.9879986,-1,-0.8044764,-0.9686944,-0.9837342,-1,-1,-1,1,1,-1
1,-0.605122,-0.9891385,-0.9946889,-1,-0.8440812,-0.9836981,-0.9949682,-1,-1,-1,1,1,-1
1,-0.5688237,-0.9809055,-0.9919332,-1,-0.8881689,-0.9953933,-0.997845,-1,-1,-1,1,1,-1
1,-0.4830574,-0.9572245,-0.9771565,-1,-0.9052624,-0.9979772,-0.9945138,-1,-1,-1,1,1,-1
1,-0.3912665,-0.9227998,-0.9536836,-1,-0.9219348,-0.9995124,-0.9894146,-1,-0.9998909,-1,1,1,-1
1,-0.3258744,-0.8825896,-0.9287559,-0.9986645,-0.945743,-1,-0.9877632,-1,-0.9936725,-1,1,1,1
1,-0.2876365,-0.8453169,-0.904389,-0.9952132,-0.9590329,-1,-0.9852675,-1,-0.9820322,1,1,1,1
1,-0.2650633,-0.8321731,-0.8925408,-0.9923,-0.9580488,-1,-0.9813226,-1,-0.976889,1,1,1,1
1,1,-0.8265352,-0.8841407,-0.9893396,-0.952893,-1,-0.9761621,-1,-0.9744116,1,1,1,1
1,1,-0.8163798,-0.8726043,-0.9852581,-0.9497579,-1,-0.9704575,-1,-0.9698637,1,1,1,1
1,1,-0.806341,-0.8606952,-0.9805551,-0.9467033,-1,-0.9641972,-1,-0.9650752,1,1,1,1
1,1,-0.7994212,-0.8538966,-0.9779971,-0.9467723,-1,-0.9615453,-1,-0.9617363,1,1,1,1
1,1,-0.792838,-0.8487847,-0.9763585,-0.9485678,-1,-0.9606427,-1,-0.9585776,1,1,1,1
1,1,-0.7840488,-0.8420848,-0.9742093,-0.9510365,-1,-0.9596114,-1,-0.9542549,1,1,1,1
1,1,-0.7736318,-0.8340844,-0.9715682,-0.9537818,-1,-0.9583613,-1,-0.948966,1,1,1,1
1,1,-0.7694749,-0.830932,-0.9705248,-0.9548849,-1,-0.9579186,-1,-0.9468121,1,1,1,1
1,1,-0.7694749,-0.830932,-0.9705248,-0.9548849,-1,-0.9579186,-1,-0.9468121,1,1,1,1
1,1,-0.7694749,-0.830932,-0.9705248,-0.9548849,-1,-0.9579186,-1,-0.9468121,1,1,1,1
1,1,-0.7694749,-0.830932,-0.9705248,-0.9548849,-1,-0.9579186,-1,-0.9468121,1,-1,1,1
1,1,-0.7694749,-0.830932,-0.9705248,-0.9548849,-1,-0.9579186,-1,-0.9468121,1,-1,1,1
1,1,-0.7694749,-0.830932,-0.9705248,-0.9548849,-1,-0.9579186,-1,-0.9468121,1,-1,1,-1
1,1,-0.7694749,-0.830932,-0.9705248,-0.9548849,-1,-0.9579186,-1,-0.9468121,1,-1,1,-1
1,1,-0.7694749,-0.830932,-0.9705248,-0.9548849,-1,-0.9579186,-1,-0.9468121,1,-1,1,-1
1,1,-0.7694749,-0.830932,-0.9705248,-0.9548849,-1,-0.9579186,-1,-0.9468121,1,-1,1,-1
1,1,-0.7694749,-0.830932,-0.9705248,-0.9548849,-1,-0.9579186,-1,-0.9468121,1,-1,1,-1
1,1,-0.7694749,-0.830932,-0.9705248,-0.9548849,-1,-0.9579186,-1,-0.9468121,1,-1,1,-1
1,1,-0.7694749,-0.830932,-0.9705248,-0.9548849,-1,-0.9579186,-1,-0.9468121,1,-1,1,-1
1,1,-0.7682884,-0.8302752,-0.9703853,-0.9554348,-1,-0.9580594,-1,-0.9462123,1,-1,1,-1
1,1,-0.7554492,-0.8222172,-0.9682193,-0.9601762,-1,-0.9584996,-1,-0.9395152,1,1,1,-1
1,1,-0.7324076,-0.8062714,-0.9632067,-0.9664679,-1,-0.9576713,-1,-0.9268254,-1,1,1,1
1,1,-0.6671014,-0.7578979,-0.9458752,-0.9786081,-1,-0.9526387,-0.9999074,-0.8872973,-1,1,1,1
1,1,-0.5923133,-0.6857507,-0.912558,-0.9839187,-1,-0.9351215,-0.9956068,-0.8351735,-1,1,1,1
1,1,-0.5200407,-0.6024951,-0.8692284,-0.9882055,-1,-0.9136834,-0.984007,-0.7767228,-1,1,1,1
1,1,-0.43291,-0.5226749,-0.8325514,-0.995958,-1,-0.908877,-0.973045,-0.7016068,-1,1,1,1
1,1,-0.3319196,-0.4729983,-0.8181378,-1,-1,-0.9246659,-0.9711065,-0.6131495,-1,1,1,1
1,1,-0.2384632,-0.451825,-0.8148389,-1,-1,-0.9436307,-0.9728079,-0.5170472,-1,1,1,1
1,1,1,-0.4450288,-0.811784,-1,-1,-0.9530075,-0.9729669,-0.4502653,-1,1,1,1
1,1,1,-0.4004258,-0.7837675,-1,-1,-0.9398327,-0.9614798,-0.443084,-1,1,1,1
1,1,1,-0.3083677,-0.7201459,-1,-1,-0.9068529,-0.9311752,-0.450737,-1,1,1,1
1,1,1,-0.2220121,-0.644584,-1,-1,-0.8732125,-0.8907237,-0.4556771,-1,1,1,1
1,1,1,1,-0.6048537,-1,-1,-0.876465,-0.8701926,-0.4024668,-1,1,1,1
1,1,1,1,-0.599977,-1,-1,-0.8787569,-0.8676146,-0.3911282,-1,1,1,1
1,1,1,1,-0.5996161,-1,-1,-0.8789387,-0.8674201,-0.3902702,-1,1,1,1
1,1,1,1,-0.5996161,-1,-1,-0.8789387,-0.8674201,-0.3902702,-1,1,1,1
1,1,1,1,-0.5996161,-1,-1,-0.8789387,-0.8674201,-0.3902702,-1,1,1,1
1,1,1,1,-0.5787755,-1,-1,-0.8733394,-0.8549469,-0.3955972,-1,1,1,1
1,1,1,1,-0.5071098,-1,-1,-0.8519794,-0.8089145,-0.4380023,-1,1,1,1
1,1,1,1,-0.4269742,-1,-1,-0.8285783,-0.7504715,-0.5060551,-1,1,1,1
1,1,1,1,-0.4039572,-1,-1,-0.8246474,-0.7306656,-0.5277553,-1,1,1,1
1,1,1,1,-0.4014741,-1,-1,-0.8242516,-0.7283861,-0.5303211,-1,1,1,1
1,1,1,1,-0.4014741,-1,-1,-0.8242516,-0.7283861,-0.5303211,-1,1,1,1
