bananaCollected01,bananaCollected02,bananaCollected03,bananaCollected04,bananaCollected05,bananaCollected06,bananaCollected07,bananaCollected08,bananaCollected09,goalReached,playerCrouching,playerSafeFromCamera,playerSafeFromRobot,banana02SafeFromCamera
-0.7172329,-0.9603518,-1,-1,-1,-0.6981077,-0.8879641,-1,-1,-1,-1,1,1,1
-0.7172329,-0.9603518,-1,-1,-1,-0.6981077,-0.8879641,-1,-1,-1,-1,1,1,1
-0.7172329,-0.9603518,-1,-1,-1,-0.6981077,-0.8879641,-1,-1,-1,-1,1,1,1
-0.6853563,-0.9478316,-1,-1,-1,-0.6890597,-0.8880101,-1,-1,-1,-1,1,1,1
-0.6157834,-0.9179726,-1,-1,-1,-0.7006806,-0.9048585,-1,-1,-1,-1,1,1,1
-0.5328743,-0.8771932,-1,-1,-1,-0.7227643,-0.9244226,-1,-1,-1,-1,1,1,1
-0.4380385,-0.8243093,-1,-1,-1,-0.7354077,-0.9356279,-0.9995568,-1,-1,-1,1,1,1
-0.3351946,-0.7595723,-1,-1,-1,-0.751513,-0.9459265,-0.9969857,-1,-1,-1,1,1,1
-0.2342024,-0.6847616,-0.9985513,-0.9990641,-1,-0.7668022,-0.9535897,-0.991288,-1,-1,-1,1,1,1
1,-0.6032906,-0.9880863,-0.9897325,-1,-0.773616,-0.9557272,-0.9797031,-1,-1,-1,1,1,1
1,-0.5792285,-0.9833817,-0.9853867,-1,-0.7774296,-0.9569312,-0.9758883,-1,-1,-1,1,1,1
1,-0.5792285,-0.9833817,-0.9853867,-1,-0.7774296,-0.9569312,-0.9758883,-1,-1,-1,1,1,1
1,-0.5792285,-0.9833817,-0.9853867,-1,-0.7774296,-0.9569312,-0.9758883,-1,-1,-1,1,1,1
1,-0.5792285,-0.9833817,-0.9853867,-1,-0.7774296,-0.9569312,-0.9758883,-1,-1,-1,1,1,1
1,-0.5792285,-0.9833817,-0.9853867,-1,-0.7774296,-0.9569312,-0.9758883,-1,-1,-1,1,1,1
1,-0.6156341,-0.9905211,-0.9927064,-1,-0.7853932,-0.9612043,-0.9850425,-1,-1,-1,1,1,1
1,-0.6542977,-0.9960582,-0.9981247,-1,-0.8079443,-0.9709352,-0.9942645,-1,-1,-1,1,1,1
1,-0.6603615,-0.9967086,-0.9986498,-1,-0.8116692,-0.9724184,-0.9953166,-1,-1,-1,1,1,-1
1,-0.6607363,-0.996747,-0.9986793,-1,-0.8118996,-0.972509,-0.995378,-1,-1,-1,1,1,-1
1,-0.6607363,-0.996747,-0.9986793,-1,-0.8118996,-0.972509,-0.995378,-1,-1,-1,1,1,-1
1,-0.6607363,-0.996747,-0.9986793,-1,-0.8118996,-0.972509,-0.995378,-1,-1,-1,1,1,-1
1,-0.6607363,-0.996747,-0.9986793,-1,-0.8118996,-0.972509,-0.995378,-1,-1,-1,1,1,-1
1,-0.649332,-0.9955363,-0.9982132,-1,-0.8239353,-0.9769892,-0.9959302,-1,-1,-1,1,1,-1
1,-0.6059937,-0.9889066,-0.9957351,-1,-0.8677071,-0.9907457,-0.9978194,-1,-1,-1,1,1,-1
1,-0.5605019,-0.9775325,-0.9913968,-1,-0.907766,-0.9986025,-0.9991021,-1,-1,-1,1,1,-1
1,-0.4805424,-0.9544801,-0.9769987,-1,-0.9171254,-0.9993656,-0.9961487,-1,-1,-1,1,1,-1
1,-0.3840823,-0.9244391,-0.9507354,-0.9998187,-0.9050874,-0.9973587,-0.9839652,-1,-0.9999267,-1,1,1,1
1,-0.3341245,-0.9046813,-0.9339365,-0.9978432,-0.9073024,-0.9973418,-0.9772086,-1,-0.9979193,-1,1,1,1
