bananaCollected01,bananaCollected02,bananaCollected03,bananaCollected04,bananaCollected05,bananaCollected06,bananaCollected07,bananaCollected08,bananaCollected09,goalReached,playerCrouching,playerSafeFromCamera,playerSafeFromRobot,banana02SafeFromCamera
-0.7172329,-0.9603518,-1,-1,-1,-0.6981077,-0.8879641,-1,-1,-1,-1,1,1,1
-0.7172329,-0.9603518,-1,-1,-1,-0.6981077,-0.8879641,-1,-1,-1,-1,1,1,1
-0.6090178,-0.915073,-1,-1,-1,-0.713944,-0.9132804,-1,-1,-1,-1,1,1,1
-0.5269408,-0.873959,-1,-1,-1,-0.7337288,-0.9306182,-1,-1,-1,-1,1,1,1
-0.4355443,-0.8230842,-1,-1,-1,-0.7282543,-0.9321074,-0.9992501,-1,-1,-1,1,1,1
-0.4032749,-0.8040594,-1,-1,-1,-0.7207544,-0.9293694,-0.9977767,-1,-1,-1,1,1,1
-0.3219501,-0.7525741,-1,-1,-1,-0.7243218,-0.9329066,-0.9932919,-1,-1,-1,1,1,-1
-0.2233387,-0.679556,-0.9979737,-0.9981272,-1,-0.7461694,-0.943961,-0.9866812,-1,-1,-1,1,1,-1
1,-0.6062847,-0.9889358,-0.9913012,-1,-0.786091,-0.9613616,-0.9836564,-1,-1,-1,1,1,-1
1,-0.6105177,-0.9900332,-0.9953355,-1,-0.8445852,-0.9839021,-0.9954792,-1,-1,-1,1,1,-1
1,-0.6617816,-0.996402,-0.9997528,-1,-0.8810844,-0.9941975,-0.999999,-1,-1,-1,1,1,-1
1,-0.6958587,-0.9992164,-1,-1,-0.8721853,-0.9921097,-1,-1,-1,-1,1,1,-1
1,-0.6377313,-0.9934103,-0.99874,-1,-0.8833537,-0.9946458,-0.99984,-1,-1,-1,1,1,-1
1,-0.5558434,-0.9773633,-0.9903988,-1,-0.8975216,-0.9970832,-0.9981022,-1,-1,-1,1,1,-1
1,-0.4682646,-0.9514205,-0.974111,-1,-0.9132127,-0.9989403,-0.9946871,-1,-1,-1,1,1,-1
1,-0.3832148,-0.9162833,-0.9509793,-0.9999995,-0.9311593,-0.9999673,-0.9906976,-1,-0.999501,-1,1,1,1
1,-0.3167378,-0.8724691,-0.9229666,-0.9981124,-0.9514727,-1,-0.9878801,-1,-0.990979,-1,1,1,1
1,-0.247652,-0.8183176,-0.8805795,-0.9890321,-0.9584099,-1,-0.9777311,-1,-0.9710317,-1,1,1,1
1,1,-0.7736225,-0.8344716,-0.9718233,-0.9541876,-1,-0.958797,-1,-0.9489926,-1,1,1,1
1,1,-0.7567652,-0.8213229,-0.9673032,-0.9581586,-1,-0.9566321,-1,-0.9400735,-1,1,1,1
1,1,-0.6958708,-0.7775763,-0.9525602,-0.972786,-1,-0.953247,-1,-0.9051308,-1,-1,1,1
1,1,-0.6130777,-0.7186691,-0.9311551,-0.9863057,-1,-0.9496875,-0.9989471,-0.851553,-1,-1,1,1
1,1,-0.5258628,-0.6418231,-0.8965542,-0.9925551,-1,-0.936895,-0.993015,-0.7872078,-1,-1,1,1
1,1,-0.4419896,-0.5566362,-0.8544926,-0.9966699,-1,-0.9225522,-0.9814543,-0.7161099,-1,-1,1,1
1,1,-0.367889,-0.4659317,-0.8073394,-0.999319,-1,-0.9098341,-0.9651828,-0.6384554,-1,1,1,1
1,1,-0.3261075,-0.3718756,-0.7542988,-1,-1,-0.8970909,-0.9436924,-0.5615067,-1,1,1,1
1,1,-0.338309,-0.2789435,-0.6935615,-1,-1,-0.8826754,-0.9155284,-0.4958157,-1,1,1,1
1,1,-0.3912534,-0.2107106,-0.6293967,-1,-1,-0.872207,-0.8828683,-0.440825,-1,1,1,1
1,1,-0.4183848,1,-0.605857,-1,-1,-0.8738237,-0.870505,-0.4120485,-1,1,1,1
1,1,-0.3435956,1,-0.6668627,-1,-1,-0.8935292,-0.9045838,-0.4110976,-1,1,1,1
1,1,-0.2493735,1,-0.7411833,-1,-1,-0.9282575,-0.9430315,-0.3921908,-1,1,1,1
1,1,1,1,-0.7872257,-1,-1,-0.9523786,-0.9641333,-0.3703469,-1,1,1,1
1,1,1,1,-0.7869902,-1,-1,-0.9530684,-0.9641047,-0.3642761,-1,1,1,1
1,1,1,1,-0.7672601,-1,-1,-0.9501603,-0.9560169,-0.3210278,-1,1,1,1
1,1,1,1,-0.7492971,-1,-1,-0.9558281,-0.948234,-0.2144075,-1,1,1,1
1,1,1,1,-0.7561206,-1,-1,-0.9698411,-0.9502928,-0.08351626,-1,1,1,1
1,1,1,1,-0.7459485,-1,-1,-0.9701809,-0.9446684,-0.05455445,-1,1,1,1
1,1,1,1,-0.7459485,-1,-1,-0.9701809,-0.9446684,-0.05455445,-1,1,1,1
