bananaCollected01,bananaCollected02,bananaCollected03,bananaCollected04,bananaCollected05,bananaCollected06,bananaCollected07,bananaCollected08,bananaCollected09,goalReached,playerCrouching,playerSafeFromCamera,playerSafeFromRobot,banana02SafeFromCamera
-0.7167208,-0.9600949,-1,-1,-1,-0.6955875,-0.8864025,-1,-1,-1,-1,1,1,1
-0.7163551,-0.9599088,-1,-1,-1,-0.6937447,-0.8852578,-1,-1,-1,-1,1,1,1
-0.6943868,-0.951297,-1,-1,-1,-0.6852292,-0.8839341,-1,-1,-1,-1,1,1,1
-0.6255903,-0.9208373,-1,-1,-1,-0.6558184,-0.8766714,-0.9999989,-1,-1,-1,1,1,1
-0.5357924,-0.8755925,-1,-1,-1,-0.6415785,-0.8787309,-0.9976552,-1,-1,-1,1,1,1
-0.4462652,-0.8282387,-1,-1,-1,-0.6778464,-0.9051703,-0.9963093,-1,-1,-1,1,1,1
-0.3658595,-0.7806029,-1,-1,-1,-0.7349002,-0.9373826,-0.9971622,-1,-1,-1,1,1,1
-0.2713148,-0.7135509,-0.999874,-0.9999797,-1,-0.7643508,-0.9524422,-0.9942343,-1,-1,-1,1,1,-1
-0.1857488,-0.6336765,-0.993237,-0.9949688,-1,-0.7819825,-0.9599577,-0.9870937,-1,-1,-1,1,1,-1
1,-0.5807968,-0.9835358,-0.9851646,-1,-0.772689,-0.9547779,-0.974643,-1,-1,-1,1,1,-1
1,-0.5807968,-0.9835358,-0.9851646,-1,-0.772689,-0.9547779,-0.974643,-1,-1,-1,1,1,-1
1,-0.5807968,-0.9835358,-0.9851646,-1,-0.772689,-0.9547779,-0.974643,-1,-1,-1,1,1,-1
1,-0.5910733,-0.9860975,-0.9886611,-1,-0.7861255,-0.9611025,-0.9809506,-1,-1,-1,1,1,-1
1,-0.606223,-0.9893759,-0.9944002,-1,-0.8352387,-0.9807255,-0.9937468,-1,-1,-1,1,1,-1
1,-0.5899019,-0.9852471,-0.9946213,-1,-0.8878183,-0.9954169,-0.9987683,-1,-1,-1,1,1,-1
1,-0.5177336,-0.9661065,-0.9844615,-1,-0.9123352,-0.9990047,-0.9977109,-1,-1,-1,1,1,-1
1,-0.4261593,-0.9348997,-0.9636888,-1,-0.923838,-0.9997302,-0.9931681,-1,-1,-1,1,1,1
1,-0.3275371,-0.8929901,-0.9319541,-0.998536,-0.931668,-0.9999216,-0.9843885,-1,-0.9959564,-1,1,1,1
1,1,-0.8423515,-0.8884266,-0.9885259,-0.9360777,-0.9999133,-0.9695129,-1,-0.9803183,-1,1,1,1
1,1,-0.8234894,-0.870797,-0.9826706,-0.9371545,-0.9998846,-0.9628061,-1,-0.9724685,1,1,1,1
1,1,-0.8148625,-0.8655106,-0.9814982,-0.9418635,-0.9999955,-0.9632915,-1,-0.9688072,1,1,1,1
1,1,-0.8018397,-0.8581222,-0.9800276,-0.9490675,-1,-0.9646104,-1,-0.9630462,1,1,1,1
1,1,-0.7872652,-0.8452592,-0.9754611,-0.9509619,-1,-0.9608075,-1,-0.9559072,1,1,1,1
1,1,-0.7822015,-0.8408107,-0.9738384,-0.9516895,-1,-0.9595497,-1,-0.9533408,1,1,1,1
1,1,-0.7820467,-0.8406929,-0.9738002,-0.951732,-1,-0.9595323,-1,-0.9532631,1,1,1,1
1,1,-0.7769642,-0.8374245,-0.9729254,-0.9537345,-1,-0.9596254,-1,-0.9507378,1,1,1,1
1,1,-0.7619579,-0.8254144,-0.9687382,-0.9569994,-1,-0.9573305,-1,-0.9428679,1,1,1,1
1,1,-0.7581714,-0.8224539,-0.9677084,-0.9578675,-1,-0.9568446,-1,-0.9408358,1,1,1,1
1,1,-0.7470942,-0.814046,-0.9648271,-0.9605542,-1,-0.955723,-1,-0.9347991,1,-1,1,1
1,1,-0.7427176,-0.8107616,-0.9636997,-0.9616101,-1,-0.9553291,-1,-0.9323725,1,-1,1,1
1,1,-0.7427176,-0.8107616,-0.9636997,-0.9616101,-1,-0.9553291,-1,-0.9323725,1,-1,1,1
1,1,-0.7427176,-0.8107616,-0.9636997,-0.9616101,-1,-0.9553291,-1,-0.9323725,1,-1,1,-1
1,1,-0.7427176,-0.8107616,-0.9636997,-0.9616101,-1,-0.9553291,-1,-0.9323725,1,-1,1,-1
1,1,-0.7427176,-0.8107616,-0.9636997,-0.9616101,-1,-0.9553291,-1,-0.9323725,1,-1,1,-1
1,1,-0.7427176,-0.8107616,-0.9636997,-0.9616101,-1,-0.9553291,-1,-0.9323725,1,-1,1,-1
1,1,-0.7427176,-0.8107616,-0.9636997,-0.9616101,-1,-0.9553291,-1,-0.9323725,1,-1,1,-1
1,1,-0.7427176,-0.8107616,-0.9636997,-0.9616101,-1,-0.9553291,-1,-0.9323725,1,-1,1,-1
1,1,-0.7427176,-0.8107616,-0.9636997,-0.9616101,-1,-0.9553291,-1,-0.9323725,1,-1,1,-1
1,1,-0.7348335,-0.8060015,-0.962435,-0.9643488,-1,-0.9558053,-1,-0.9280367,1,1,1,-1
1,1,-0.7172207,-0.7946888,-0.959079,-0.9694196,-1,-0.9561021,-1,-0.9180201,1,1,1,-1
1,1,-0.6813529,-0.7693745,-0.9504049,-0.9767599,-1,-0.9544799,-0.9999982,-0.896375,-1,1,1,1
1,1,-0.6057177,-0.7134928,-0.9292117,-0.9872354,-1,-0.9494405,-0.9987603,-0.8465048,-1,1,1,1
1,1,-0.5290655,-0.6339785,-0.8902081,-0.9906814,-1,-0.9301903,-0.9910061,-0.7881573,-1,1,1,1
1,1,-0.4562481,-0.5440291,-0.842317,-0.9942177,-1,-0.9096459,-0.9760693,-0.722701,-1,1,1,1
1,1,-0.3655607,-0.4679235,-0.8091179,-0.9994233,-1,-0.9114444,-0.9660438,-0.6374271,-1,1,1,1
1,1,-0.269024,-0.4355913,-0.8024178,-1,-1,-0.931119,-0.9669191,-0.5428796,-1,1,1,1
1,1,1,-0.4338507,-0.80489,-1,-1,-0.9499046,-0.9702688,-0.447442,-1,1,1,1
1,1,1,-0.4097272,-0.78873,-1,-1,-0.9476615,-0.9642307,-0.4090886,-1,1,1,1
1,1,1,-0.402221,-0.7821731,-1,-1,-0.9489153,-0.9618796,-0.3789788,-1,1,1,1
1,1,1,-0.3555838,-0.751615,-1,-1,-0.9339964,-0.9480757,-0.3859095,-1,1,1,1
1,1,1,-0.2907145,-0.7008548,-1,-1,-0.914928,-0.9234141,-0.3728835,-1,1,1,1
1,1,1,-0.2811207,-0.6914689,-1,-1,-0.9122196,-0.918655,-0.3684622,-1,1,1,1
1,1,1,-0.2803821,-0.6907136,-1,-1,-0.9120038,-0.9182686,-0.368134,-1,1,1,1
1,1,1,-0.2329246,-0.6491893,-1,-1,-0.8895178,-0.8952209,-0.402076,-1,1,1,1
1,1,1,1,-0.6058062,-1,-1,-0.868764,-0.8699294,-0.4284366,-1,1,1,1
1,1,1,1,-0.5962498,-1,-1,-0.8726479,-0.8650361,-0.4082811,-1,1,1,1
1,1,1,1,-0.535427,-1,-1,-0.8597702,-0.8276858,-0.4200285,-1,1,1,1
1,1,1,1,-0.4486896,-1,-1,-0.8283862,-0.7680117,-0.493437,-1,1,1,1
1,1,1,1,-0.3666384,-1,-1,-0.8027529,-0.7014099,-0.5698878,-1,1,1,1
1,1,1,1,-0.3473358,-1,-1,-0.8033248,-0.6787449,-0.5919925,-1,1,1,1
1,1,1,1,-0.3457213,-1,-1,-0.8034715,-0.6764388,-0.5943796,-1,1,1,1
