bananaCollected01,bananaCollected02,bananaCollected03,bananaCollected04,bananaCollected05,bananaCollected06,bananaCollected07,bananaCollected08,bananaCollected09,goalReached,playerCrouching,playerSafeFromCamera,playerSafeFromRobot,banana02SafeFromCamera
-0.717213,-0.9603371,-1,-1,-1,-0.6978314,-0.8877858,-1,-1,-1,-1,1,1,1
-0.717213,-0.9603371,-1,-1,-1,-0.6978314,-0.8877858,-1,-1,-1,-1,1,1,1
-0.717213,-0.9603371,-1,-1,-1,-0.6978314,-0.8877858,-1,-1,-1,-1,1,1,1
-0.7110663,-0.9579895,-1,-1,-1,-0.6952921,-0.8873256,-1,-1,-1,-1,1,1,1
-0.6799194,-0.9454691,-1,-1,-1,-0.6838344,-0.8856168,-1,-1,-1,-1,1,1,1
-0.6293796,-0.9229801,-1,-1,-1,-0.6649036,-0.881693,-1,-1,-1,-1,1,1,1
-0.5448037,-0.8811657,-1,-1,-1,-0.6538241,-0.8849527,-0.9987381,-1,-1,-1,1,1,1
-0.4747314,-0.8443212,-1,-1,-1,-0.6734067,-0.9012325,-0.9973603,-1,-1,-1,1,1,1
-0.4630271,-0.8379198,-1,-1,-1,-0.6777027,-0.9042382,-0.9971572,-1,-1,-1,1,1,1
-0.4621838,-0.8374554,-1,-1,-1,-0.6780171,-0.9044545,-0.9971426,-1,-1,-1,1,1,1
-0.4621838,-0.8374554,-1,-1,-1,-0.6780171,-0.9044545,-0.9971426,-1,-1,-1,1,1,1
-0.4621838,-0.8374554,-1,-1,-1,-0.6780171,-0.9044545,-0.9971426,-1,-1,-1,1,1,1
-0.4621838,-0.8374554,-1,-1,-1,-0.6780171,-0.9044545,-0.9971426,-1,-1,-1,1,1,1
-0.4173816,-0.8122613,-1,-1,-1,-0.6996289,-0.9179959,-0.9967544,-1,-1,-1,1,1,1
-0.3315477,-0.7583189,-1,-1,-1,-0.7395992,-0.9402745,-0.9957172,-1,-1,-1,1,1,1
-0.2282152,-0.6826914,-0.998303,-0.9986166,-1,-0.7542861,-0.9478201,-0.9887784,-1,-1,-1,1,1,1
1,-0.627081,-0.9910226,-0.9903256,-1,-0.7333728,-0.9368168,-0.9724444,-1,-1,-1,1,1,1
1,-0.6221948,-0.98883,-0.9859715,-1,-0.7047019,-0.9214289,-0.9599213,-1,-1,-1,1,1,-1
1,-0.6282952,-0.9910342,-0.990027,-1,-0.7279722,-0.9340846,-0.9709097,-1,-1,-1,1,1,-1
1,-0.6406109,-0.9942055,-0.9958647,-1,-0.7832502,-0.9605886,-0.9883808,-1,-1,-1,1,1,-1
1,-0.626212,-0.992494,-0.9967331,-1,-0.8386509,-0.9820386,-0.9959401,-1,-1,-1,1,1,-1
1,-0.6171095,-0.9910281,-0.9962691,-1,-0.850503,-0.9858287,-0.9966966,-1,-1,-1,1,1,-1
1,-0.6162258,-0.9908756,-0.9962226,-1,-0.8516749,-0.9861863,-0.99677,-1,-1,-1,1,1,-1
1,-0.5733566,-0.9826609,-0.9917904,-1,-0.8703617,-0.9912512,-0.9960867,-1,-1,-1,1,1,-1
1,-0.4858576,-0.960328,-0.9764116,-1,-0.883771,-0.9938818,-0.9906549,-1,-1,-1,1,1,-1
1,-0.3859864,-0.9258139,-0.9509963,-0.9997888,-0.9013795,-0.9967163,-0.9830697,-1,-0.9999624,-1,1,1,-1
1,-0.3021793,-0.8873948,-0.9225786,-0.9962593,-0.9197147,-0.9989217,-0.9766258,-1,-0.9945273,1,1,1,1
1,-0.2706699,-0.8691984,-0.9090372,-0.9935763,-0.9272017,-0.9995104,-0.9739166,-1,-0.9895863,1,1,1,1
1,-0.251072,-0.8555737,-0.8990207,-0.9913403,-0.9326598,-0.9998082,-0.9721895,-1,-0.9851657,1,1,1,1
1,1,-0.8415541,-0.8885205,-0.988736,-0.9375536,-0.9999599,-0.9702708,-1,-0.9800549,1,1,1,1
1,1,-0.8270946,-0.8776987,-0.9858579,-0.9423103,-1,-0.9684087,-1,-0.9742705,1,1,1,1
1,1,-0.8115991,-0.8656753,-0.9823346,-0.9465002,-1,-0.9660233,-1,-0.9675334,1,1,1,1
1,1,-0.7957403,-0.853141,-0.9783909,-0.9503173,-1,-0.9634556,-1,-0.9601343,1,1,1,1
1,1,-0.7791229,-0.8397573,-0.9739047,-0.9538992,-1,-0.9606371,-1,-0.951888,1,1,1,1
1,1,-0.7672759,-0.8304065,-0.970719,-0.9565742,-1,-0.95893,-1,-0.9457537,1,1,1,1
1,1,-0.7657661,-0.8292384,-0.9703226,-0.9569311,-1,-0.9587426,-1,-0.9449586,1,1,1,1
1,1,-0.7657661,-0.8292384,-0.9703226,-0.9569311,-1,-0.9587426,-1,-0.9449586,1,1,1,1
1,1,-0.7657661,-0.8292384,-0.9703226,-0.9569311,-1,-0.9587426,-1,-0.9449586,1,1,1,1
1,1,-0.7657661,-0.8292384,-0.9703226,-0.9569311,-1,-0.9587426,-1,-0.9449586,1,1,1,1
1,1,-0.7657661,-0.8292384,-0.9703226,-0.9569311,-1,-0.9587426,-1,-0.9449586,1,-1,1,1
1,1,-0.7657661,-0.8292384,-0.9703226,-0.9569311,-1,-0.9587426,-1,-0.9449586,1,-1,1,1
1,1,-0.7657661,-0.8292384,-0.9703226,-0.9569311,-1,-0.9587426,-1,-0.9449586,1,-1,1,-1
1,1,-0.7657661,-0.8292384,-0.9703226,-0.9569311,-1,-0.9587426,-1,-0.9449586,1,-1,1,-1
1,1,-0.7657661,-0.8292384,-0.9703226,-0.9569311,-1,-0.9587426,-1,-0.9449586,1,-1,1,-1
1,1,-0.7657661,-0.8292384,-0.9703226,-0.9569311,-1,-0.9587426,-1,-0.9449586,1,-1,1,-1
