bananaCollected01,bananaCollected02,bananaCollected03,bananaCollected04,bananaCollected05,bananaCollected06,bananaCollected07,bananaCollected08,bananaCollected09,goalReached,playerCrouching,playerSafeFromCamera,playerSafeFromRobot,banana02SafeFromCamera
-0.7171023,-0.9602947,-1,-1,-1,-0.6977632,-0.8877628,-1,-1,-1,-1,1,1,1
-0.7167743,-0.9601505,-1,-1,-1,-0.6968946,-0.8872551,-1,-1,-1,-1,1,1,1
-0.7015727,-0.9541764,-1,-1,-1,-0.688049,-0.8844171,-1,-1,-1,-1,1,1,1
-0.634997,-0.9253991,-1,-1,-1,-0.6622336,-0.8792442,-1,-1,-1,-1,1,1,1
-0.5477772,-0.8831225,-1,-1,-1,-0.6608194,-0.8887038,-0.9991512,-1,-1,-1,1,1,1
-0.4573809,-0.835367,-1,-1,-1,-0.6916414,-0.9120591,-0.9979545,-1,-1,-1,1,1,1
-0.3749003,-0.7859148,-1,-1,-1,-0.7407418,-0.9400495,-0.9979879,-1,-1,-1,1,1,1
-0.2902875,-0.7239244,-0.9999999,-1,-1,-0.7767109,-0.9578884,-0.9965982,-1,-1,-1,1,1,1
-0.1976887,-0.6440617,-0.9946815,-0.9963594,-1,-0.7856421,-0.9616579,-0.9893394,-1,-1,-1,1,1,1
1,-0.5926251,-0.9869439,-0.9915667,-1,-0.8188658,-0.974616,-0.9892383,-1,-1,-1,1,1,1
1,-0.6638438,-0.9970289,-0.9994084,-1,-0.8415884,-0.9831747,-0.9985395,-1,-1,-1,1,1,1
1,-0.6302106,-0.9923041,-0.9982779,-1,-0.8843891,-0.9948469,-0.9997472,-1,-1,-1,1,1,1
1,-0.5536765,-0.9760418,-0.9903609,-1,-0.9065445,-0.998428,-0.9987763,-1,-1,-1,1,1,1
1,-0.4614684,-0.9507929,-0.9721299,-1,-0.9043735,-0.997734,-0.9925213,-1,-1,-1,1,1,1
1,-0.3658234,-0.9156892,-0.9454391,-0.9995626,-0.9133554,-0.9984906,-0.9840382,-1,-0.9993839,-1,1,1,1
1,-0.3124783,-0.8775386,-0.9238626,-0.9978742,-0.9441068,-1,-0.9857081,-1,-0.992322,-1,1,1,1
1,-0.252709,-0.8253598,-0.8858845,-0.9903781,-0.9570372,-1,-0.9787577,-1,-0.9740335,-1,1,1,1
1,1,-0.7921712,-0.8485198,-0.976351,-0.9490444,-1,-0.960844,-1,-0.9582728,-1,1,1,1
1,1,-0.7683634,-0.8313587,-0.9710758,-0.9564247,-1,-0.9591855,-1,-0.9463329,-1,1,1,-1
1,1,-0.7091553,-0.7960703,-0.9618607,-0.97569,-1,-0.9622244,-1,-0.9137712,-1,1,1,-1
1,1,-0.6295388,-0.7330992,-0.9374319,-0.9850767,-1,-0.9525115,-0.9995285,-0.8629168,-1,1,1,-1
1,1,-0.5405219,-0.6541417,-0.9020398,-0.9914595,-1,-0.9383483,-0.9941649,-0.7984307,-1,1,1,-1
1,1,-0.4515119,-0.5715854,-0.8629593,-0.9965603,-1,-0.9267124,-0.9842623,-0.7257238,-1,1,1,-1
1,1,-0.3695749,-0.4833446,-0.8186536,-0.9994292,-1,-0.9160445,-0.9698989,-0.6455213,-1,1,1,-1
1,1,-0.3576319,-0.3845477,-0.7556301,-0.9996053,-1,-0.8876951,-0.9424971,-0.5952188,-1,1,1,-1
1,1,-0.369616,-0.2858399,-0.6893713,-1,-1,-0.8670121,-0.910772,-0.5400541,-1,1,1,-1
1,1,-0.3966138,-0.2112764,-0.6309698,-1,-1,-0.8621936,-0.8821402,-0.4750077,-1,1,1,-1
1,1,-0.3440148,-0.2527258,-0.6664694,-1,-1,-0.900216,-0.9051333,-0.3822496,-1,1,1,1
1,1,-0.2636653,-0.325689,-0.7323928,-1,-1,-0.9196743,-0.9382322,-0.4169991,-1,1,1,1
1,1,-0.3497441,-0.2580388,-0.6774365,-1,-1,-0.8786939,-0.9074543,-0.4834835,-1,1,1,1
1,1,-0.4465235,1,-0.5961421,-1,-1,-0.8338752,-0.8591941,-0.519229,-1,1,1,1
1,1,-0.4876481,1,-0.5607318,-1,-1,-0.8123395,-0.8360584,-0.5428886,-1,1,1,1
1,1,-0.4351876,1,-0.6202117,-0.9999879,-1,-0.833967,-0.8714125,-0.5419584,-1,1,1,1
1,1,-0.3441392,1,-0.689445,-1,-1,-0.8799023,-0.9131849,-0.4985867,-1,1,1,1
1,1,-0.2494573,1,-0.7457931,-1,-1,-0.9245197,-0.944536,-0.4242516,-1,1,1,1
1,1,1,1,-0.788892,-1,-1,-0.9491384,-0.9644465,-0.3994732,-1,1,1,1
1,1,1,1,-0.7888616,-1,-1,-0.9492221,-0.9644438,-0.3987888,-1,1,1,1
1,1,1,1,-0.7888616,-1,-1,-0.9492221,-0.9644438,-0.3987888,-1,1,1,1
1,1,1,1,-0.7582198,-1,-1,-0.9399453,-0.9514297,-0.3668479,-1,1,1,1
1,1,1,1,-0.7146015,-1,-1,-0.9345971,-0.9313881,-0.2883024,-1,1,1,1
1,1,1,1,-0.6992149,-1,-1,-0.9446717,-0.9230621,-0.1881664,-1,1,1,1
1,1,1,1,-0.7213067,-1,-1,-0.962355,-0.9325032,-0.08987064,-1,1,1,1
1,1,1,1,-0.7213067,-1,-1,-0.962355,-0.9325032,-0.08987064,-1,1,1,1
