bananaCollected01,bananaCollected02,bananaCollected03,bananaCollected04,bananaCollected05,bananaCollected06,bananaCollected07,bananaCollected08,bananaCollected09,goalReached,playerCrouching,playerSafeFromCamera,playerSafeFromRobot,banana02SafeFromCamera
-0.7172329,-0.9603518,-1,-1,-1,-0.6981077,-0.8879641,-1,-1,-1,-1,1,1,1
-0.7172329,-0.9603518,-1,-1,-1,-0.6981077,-0.8879641,-1,-1,-1,-1,1,1,1
-0.7066913,-0.9563226,-1,-1,-1,-0.6945946,-0.887711,-1,-1,-1,-1,1,1,1
-0.6394229,-0.9280757,-1,-1,-1,-0.6797765,-0.8893716,-1,-1,-1,-1,1,1,1
-0.5515109,-0.8856381,-1,-1,-1,-0.6724281,-0.89502,-0.9996358,-1,-1,-1,1,1,1
-0.4570844,-0.8352049,-1,-1,-1,-0.6918383,-0.9121792,-0.9979562,-1,-1,-1,1,1,1
-0.3873137,-0.7932953,-1,-1,-1,-0.7450833,-0.9418794,-0.9986929,-1,-1,-1,1,1,1
-0.2934649,-0.729945,-1,-1,-1,-0.7612392,-0.9508985,-0.99546,-1,-1,-1,1,1,1
-0.1976244,-0.6538532,-0.9956002,-0.9963994,-1,-0.7639639,-0.952094,-0.9863095,-1,-1,-1,1,1,1
1,-0.5794761,-0.9834071,-0.9853532,-1,-0.7766895,-0.9565973,-0.9756966,-1,-1,-1,1,1,1
1,-0.5794771,-0.9834073,-0.985353,-1,-0.7766862,-0.9565958,-0.9756957,-1,-1,-1,1,1,1
1,-0.5794771,-0.9834073,-0.985353,-1,-0.7766862,-0.9565958,-0.9756957,-1,-1,-1,1,1,1
1,-0.5794771,-0.9834073,-0.985353,-1,-0.7766862,-0.9565958,-0.9756957,-1,-1,-1,1,1,1
1,-0.5869328,-0.9852108,-0.9876642,-1,-0.7839455,-0.9600529,-0.9795266,-1,-1,-1,1,1,1
1,-0.6285191,-0.9928401,-0.9961605,-1,-0.8181924,-0.9747225,-0.9932521,-1,-1,-1,1,1,1
1,-0.5929706,-0.9867231,-0.9940164,-1,-0.8619826,-0.9890935,-0.9964011,-1,-1,-1,1,1,1
1,-0.5053784,-0.9657182,-0.9806814,-1,-0.8841788,-0.9941354,-0.9926833,-1,-1,-1,-1,1,1
1,-0.415969,-0.9355806,-0.9603175,-1,-0.9060663,-0.9977335,-0.9882212,-1,-1,-1,-1,1,1
1,-0.3281558,-0.8950539,-0.9324415,-0.9984665,-0.9281393,-0.9997627,-0.9834414,-1,-0.9963512,-1,-1,1,1
1,-0.2559165,-0.844501,-0.8965051,-0.992105,-0.9467258,-1,-0.9775409,-1,-0.9814698,-1,1,1,1
1,1,-0.7829823,-0.8490488,-0.9787544,-0.9598098,-1,-0.9679396,-1,-0.9542596,-1,1,1,1
1,1,-0.7209468,-0.7947218,-0.9581876,-0.9667566,-1,-0.9537376,-1,-0.9199731,-1,1,1,1
1,1,-0.7022527,-0.7809234,-0.9533073,-0.9707231,-1,-0.9524168,-1,-0.908885,-1,1,1,1
1,1,-0.6621734,-0.7445801,-0.9376682,-0.9749684,-1,-0.9438313,-0.9992024,-0.8832148,-1,1,1,1
1,1,-0.584407,-0.6743177,-0.9061337,-0.9836286,-1,-0.9306148,-0.9941041,-0.82879,-1,1,1,1
1,1,-0.5180574,-0.5903363,-0.860571,-0.9871553,-1,-0.9066912,-0.9807161,-0.7728657,-1,1,1,1
1,1,-0.4346484,-0.5034908,-0.818427,-0.9950513,-1,-0.8986869,-0.9669007,-0.6971782,-1,1,1,-1
1,1,-0.3701569,-0.4102666,-0.769613,-0.9990523,-1,-0.8897489,-0.9482223,-0.6174748,-1,1,1,-1
1,1,-0.362008,-0.3114512,-0.7076744,-0.9999789,-1,-0.8724763,-0.919883,-0.553254,-1,1,1,-1
1,1,-0.3925761,-0.2245896,-0.6423993,-1,-1,-0.8593004,-0.8873146,-0.4974802,-1,1,1,-1
1,1,-0.3968344,1,-0.6237239,-1,-1,-0.8735003,-0.8800854,-0.430244,-1,1,1,-1
1,1,-0.3018653,1,-0.7007273,-1,-1,-0.9065697,-0.9224058,-0.4129668,-1,1,1,-1
1,1,-0.2154005,1,-0.770866,-1,-1,-0.9426408,-0.956836,-0.3865395,-1,1,1,-1
1,1,1,1,-0.7875908,-1,-1,-0.9517019,-0.9642097,-0.3766619,-1,1,1,-1
1,1,1,1,-0.7613931,-1,-1,-0.9454743,-0.953231,-0.3380062,-1,1,1,-1
1,1,1,1,-0.7216093,-1,-1,-0.9420158,-0.9349741,-0.2529983,-1,1,1,1
1,1,1,1,-0.6952568,-1,-1,-0.9461059,-0.9206035,-0.1732441,-1,1,1,1
1,1,1,1,-0.6856546,-1,-1,-0.9467198,-0.914701,-0.1616636,-1,1,1,1
1,1,1,1,-0.6847321,-1,-1,-0.9468009,-0.9141058,-0.1608667,-1,1,1,1
