bananaCollected01,bananaCollected02,bananaCollected03,bananaCollected04,bananaCollected05,bananaCollected06,bananaCollected07,bananaCollected08,bananaCollected09,goalReached,playerCrouching,playerSafeFromCamera,playerSafeFromRobot,banana02SafeFromCamera
-0.7172329,-0.9603518,-1,-1,-1,-0.6981077,-0.8879641,-1,-1,-1,-1,1,1,1
-0.7172329,-0.9603518,-1,-1,-1,-0.6981077,-0.8879641,-1,-1,-1,-1,1,1,1
-0.7142581,-0.9592297,-1,-1,-1,-0.6971768,-0.8879393,-1,-1,-1,-1,1,1,1
-0.6690363,-0.9410173,-1,-1,-1,-0.6849204,-0.8881111,-1,-1,-1,-1,1,1,1
-0.588532,-0.904313,-1,-1,-1,-0.6773381,-0.89419,-0.9999999,-1,-1,-1,1,1,1
-0.4945488,-0.8557183,-1,-1,-1,-0.6798893,-0.9035791,-0.9985707,-1,-1,-1,1,1,1
-0.3958549,-0.7993981,-1,-1,-1,-0.7043077,-0.921155,-0.9960154,-1,-1,-1,1,1,1
-0.3116347,-0.7438106,-1,-1,-1,-0.75244,-0.946649,-0.995756,-1,-1,-1,1,1,1
-0.222567,-0.6707527,-0.9975187,-0.9984833,-1,-0.7789902,-0.9589616,-0.9915798,-1,-1,-1,1,1,1
1,-0.6074175,-0.9884372,-0.9892222,-1,-0.7601534,-0.9495267,-0.9764988,-1,-1,-1,1,1,1
1,-0.5930342,-0.9851269,-0.985002,-1,-0.7493936,-0.943878,-0.9692724,-1,-1,-1,1,1,1
1,-0.6085941,-0.9891006,-0.9908267,-1,-0.775524,-0.9566994,-0.9812643,-1,-1,-1,1,1,1
1,-0.6327747,-0.9934458,-0.9967924,-1,-0.8232421,-0.976639,-0.9944269,-1,-1,-1,1,1,1
1,-0.6394739,-0.9943123,-0.9978388,-1,-0.8371325,-0.9815984,-0.9967273,-1,-1,-1,1,1,1
1,-0.6402592,-0.9944063,-0.9979419,-1,-0.838618,-0.9821044,-0.9969416,-1,-1,-1,1,1,1
1,-0.6402592,-0.9944063,-0.9979419,-1,-0.838618,-0.9821044,-0.9969416,-1,-1,-1,1,1,1
1,-0.6402592,-0.9944063,-0.9979419,-1,-0.838618,-0.9821044,-0.9969416,-1,-1,-1,1,1,1
1,-0.6402592,-0.9944063,-0.9979419,-1,-0.838618,-0.9821044,-0.9969416,-1,-1,-1,1,1,-1
1,-0.6402592,-0.9944063,-0.9979419,-1,-0.838618,-0.9821044,-0.9969416,-1,-1,-1,1,1,-1
1,-0.6402592,-0.9944063,-0.9979419,-1,-0.838618,-0.9821044,-0.9969416,-1,-1,-1,1,1,-1
1,-0.6402592,-0.9944063,-0.9979419,-1,-0.838618,-0.9821044,-0.9969416,-1,-1,-1,1,1,-1
1,-0.6402592,-0.9944063,-0.9979419,-1,-0.838618,-0.9821044,-0.9969416,-1,-1,-1,1,1,-1
1,-0.6273112,-0.9925713,-0.9971976,-1,-0.8495148,-0.9855775,-0.997251,-1,-1,-1,1,1,-1
1,-0.5681693,-0.9811933,-0.9914963,-1,-0.8799297,-0.9935887,-0.9969231,-1,-1,-1,1,1,-1
1,-0.4739015,-0.9563583,-0.9741114,-1,-0.8896124,-0.9950858,-0.9906706,-1,-1,-1,1,1,-1
1,-0.3745804,-0.9208635,-0.9477302,-0.9996095,-0.9053909,-0.9973392,-0.9827467,-1,-0.9997569,-1,1,1,-1
1,-0.2923067,-0.8778629,-0.918225,-0.9959943,-0.9302478,-0.9997908,-0.9787882,-1,-0.992207,-1,1,1,1
1,1,-0.8498603,-0.8993278,-0.9924919,-0.9431611,-1,-0.9769688,-1,-0.9833817,1,1,1,1
