bananaCollected01,bananaCollected02,bananaCollected03,bananaCollected04,bananaCollected05,bananaCollected06,bananaCollected07,bananaCollected08,bananaCollected09,goalReached,playerCrouching,playerSafeFromCamera,playerSafeFromRobot,banana02SafeFromCamera
-0.7136391,-0.9588633,-1,-1,-1,-0.6922956,-0.8848465,-1,-1,-1,-1,1,1,1
-0.712831,-0.9585246,-1,-1,-1,-0.6909764,-0.8841379,-1,-1,-1,-1,1,1,1
-0.7113761,-0.9579513,-1,-1,-1,-0.6899368,-0.8837432,-1,-1,-1,-1,1,1,1
-0.6558351,-0.9350425,-1,-1,-1,-0.6740383,-0.8833953,-1,-1,-1,-1,1,1,1
-0.5717403,-0.8957977,-1,-1,-1,-0.6711173,-0.8923237,-0.9998639,-1,-1,-1,1,1,1
-0.4747907,-0.8446534,-1,-1,-1,-0.678653,-0.9041026,-0.9977556,-1,-1,-1,1,1,1
-0.3763364,-0.7870737,-1,-1,-1,-0.6987957,-0.9188492,-0.9941379,-1,-1,-1,1,1,1
-0.316235,-0.7455174,-1,-1,-1,-0.7614195,-0.950783,-0.9968045,-1,-1,-1,1,1,-1
-0.2338621,-0.6751496,-0.9979612,-0.9990218,-1,-0.7893288,-0.9634206,-0.9936835,-1,-1,-1,1,1,-1
1,-0.5898899,-0.9862136,-0.9898302,-1,-0.801729,-0.9677526,-0.9849138,-1,-1,-1,1,1,-1
1,-0.5939473,-0.9870583,-0.9937584,-1,-0.8536403,-0.9866408,-0.9953903,-1,-1,-1,1,1,-1
1,-0.6133391,-0.9888432,-0.9973066,-1,-0.9016894,-0.9979213,-0.9999446,-1,-1,-1,1,1,-1
1,-0.5833173,-0.9795174,-0.9946681,-1,-0.9341269,-1,-1,-1,-1,-1,1,1,-1
1,-0.5199845,-0.9665414,-0.9849101,-1,-0.9135887,-0.9991401,-0.9979513,-1,-1,-1,1,1,-1
1,-0.5107819,-0.9680545,-0.9804981,-1,-0.8675234,-0.989944,-0.9898229,-1,-1,-1,1,1,-1
1,-0.4621738,-0.9545434,-0.9664552,-1,-0.8504565,-0.9839655,-0.9778763,-1,-1,-1,1,1,-1
1,-0.388349,-0.9279961,-0.9389423,-0.9959216,-0.8434513,-0.9796073,-0.9573336,-1,-0.9999343,-1,1,1,1
1,-0.2938478,-0.8877248,-0.9054814,-0.9874585,-0.8739663,-0.9879964,-0.9482095,-1,-0.9936867,-1,1,1,1
1,1,-0.8467713,-0.8815539,-0.9835362,-0.9160156,-0.9976736,-0.9561677,-1,-0.9812756,-1,1,1,1
1,1,-0.8280465,-0.869857,-0.980984,-0.928703,-0.9992436,-0.957625,-1,-0.9740541,-1,1,1,1
1,1,-0.818521,-0.868871,-0.9826667,-0.941523,-0.9999954,-0.9644624,-1,-0.9704579,-1,1,1,1
1,1,-0.778561,-0.8505931,-0.9805565,-0.965835,-1,-0.9722922,-1,-0.9522992,-1,1,1,1
1,1,-0.707643,-0.7997682,-0.9645489,-0.9788976,-1,-0.9662972,-1,-0.9131303,-1,-1,1,1
1,1,-0.6272688,-0.7433331,-0.944798,-0.9893981,-1,-0.9614316,-0.9999863,-0.8621298,-1,-1,1,1
1,1,-0.5398803,-0.6746957,-0.9164045,-0.9950515,-1,-0.9522285,-0.9975429,-0.8000417,-1,-1,1,1
1,1,-0.4492256,-0.5911248,-0.8768654,-0.9980493,-1,-0.9382494,-0.9891094,-0.7274512,-1,-1,1,1
1,1,-0.3946436,-0.4978273,-0.8235719,-0.9984172,-1,-0.9128391,-0.9709284,-0.6681296,-1,1,1,1
1,1,-0.3282062,-0.4096017,-0.7779121,-0.9999987,-1,-0.9054972,-0.954131,-0.5841124,-1,1,1,1
1,1,-0.3264452,-0.3096115,-0.7153385,-1,-1,-0.8883803,-0.9261218,-0.5144087,-1,1,1,1
1,1,-0.387985,-0.2221587,-0.6422565,-1,-1,-0.8632417,-0.8879424,-0.485216,-1,1,1,1
1,1,-0.4155248,1,-0.6098843,-1,-1,-0.8605886,-0.871019,-0.457755,-1,1,1,1
1,1,-0.3329332,1,-0.6752744,-1,-1,-0.8974986,-0.9091928,-0.407802,-1,1,1,1
1,1,-0.2413266,1,-0.747421,-1,-1,-0.9339161,-0.9462959,-0.3750741,-1,1,1,1
1,1,1,1,-0.7871572,-1,-1,-0.9522857,-0.9640988,-0.370815,-1,1,1,1
1,1,1,1,-0.7871345,-1,-1,-0.9523388,-0.964095,-0.3703369,-1,1,1,1
1,1,1,1,-0.7611438,-1,-1,-0.9444991,-0.9530492,-0.3442718,-1,1,1,1
1,1,1,1,-0.722065,-1,-1,-0.941192,-0.9351914,-0.2601383,-1,1,1,1
1,1,1,1,-0.6854521,-1,-1,-0.9415206,-0.9155388,-0.1906348,-1,1,1,1
1,1,1,1,-0.662487,-1,-1,-0.9406049,-0.9013277,-0.1858191,-1,1,1,1
